Titel,Start tijd,Leeftijd,Afbeelding
Trolls World Tour,20:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/19824_127512_ps_sd-high.jpg
One Man and His Shoes,11:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Burden,16:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33532_126124_ps_sd-high.jpg
QT8: The First Eight,19:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/QT8_-The-First-Eight_ps_1_jpg_sd-high.jpg
One Man and His Shoes,22:10,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Gli anni più belli,21:30,14,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33394_126875_ps_sd-high.jpg
"André Rieu: Magical Maastricht, Verbonden door Muziek",11:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/AR2020_MM_Poster_1Sheet_NLPATHE.jpg
The Last Full Measure,17:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/LastFullMeasurePoster70x100cPathe.jpg
Gli anni più belli,21:30,14,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33394_126875_ps_sd-high.jpg
KILL BILL : VOLUME 1,22:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/Kill_Bill_Vol_1.png
The Last Full Measure,17:20,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/LastFullMeasurePoster70x100cPathe.jpg
The Breakfast Club,19:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/PosterTheBreakfastClub.jpg
Harry Potter and the Deathly Hallows: Part 2 (OV),13:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_2_poshighres.jpg
KILL BILL : VOLUME 1,21:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/Kill_Bill_Vol_1.png
The Personal History of David Copperfield,20:30,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33391_128338_ps_sd-high.jpg
The Breakfast Club,14:20,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/PosterTheBreakfastClub.jpg
